mnemonic,variant,description,opcodes,operands,reads,writes,rmw,data_bus_cycles_if_all_memory,operand_detail,confidence
REMU,remu.w,,51 53 55,2,1,0,1,6,src.w(4B).r ; dst.w(4B).rw,ok
RET,ret,,,0,0,0,0,0,,ok
RETIS,retis,Return from Interrupt (System),,0,0,0,0,0,,ok
RETIU,retiu,Return from Interrupt (User),,0,0,0,0,0,,ok
ROT,rot.b,,89 8B 8D,2,1,0,1,3,count.b(1B).r ; dst.b(1B).rw,ok
ROT,rot.b,,89 8B 8D,2,1,0,1,3,count.b(1B).r ; dst.h(2B).rw,ok
ROT,rot.b,,89 8B 8D,2,1,0,1,5,count.b(1B).r ; dst.w(4B).rw,ok
ROTC,rotc.b,,99 9B 9D,2,1,0,1,3,count.b(1B).r ; dst.b(1B).rw,ok
ROTC,rotc.b,,99 9B 9D,2,1,0,1,3,count.b(1B).r ; dst.h(2B).rw,ok
ROTC,rotc.b,,99 9B 9D,2,1,0,1,5,count.b(1B).r ; dst.w(4B).rw,ok
RVBIT,rvbit,,08,2,1,1,0,2,src.b(1B).r ; dst.b(1B).w,ok
RVBYT,rvbyt,Reverse Byte Order,2C,2,1,1,0,4,src.w(4B).r ; dst.w(4B).w,ok
SCH1BSU,schlbsu,,5B-02 5B-03,3,2,1,0,4,bsrc.b(1B).r ; blen.b(1B).r ; dst.w(4B).w,review
SCHCD,schcd.b,Search Character,58-18 58-19 5A-18,3,3,0,0,3,src.b(1B).r ; slen.b(1B).r ; char.b(1B).r,ok
SCHCD,schcd.b,Search Character,58-18 58-19 5A-18,3,3,0,0,3,src.h(2B).r ; slen.b(1B).r ; char.h(2B).r,ok
SCHCU,schcd.b,,58-18 58-19 5A-18,3,3,0,0,3,src.b(1B).r ; slen.b(1B).r ; char.b(1B).r,review
SCHCU,schcd.b,,58-18 58-19 5A-18,3,3,0,0,3,src.h(2B).r ; slen.b(1B).r ; char.h(2B).r,review
SCHOBS,schobs,,5B-00,3,2,1,0,4,bsrc.b(1B).r ; blen.b(1B).r ; dst.w(4B).w,ok
SCLF,sclf.s,,5E-10,2,1,0,1,5,count.h(2B).r ; dst.s(4B).rw,ok
SCLF,sclf.l,,5E-10,2,1,0,1,9,count.h(2B).r ; dst.l(8B).rw,ok
SET1,setl,Set Bit,97,2,1,0,1,6,offset.w(4B).r ; base.w(4B).rw,review
SETF,setf,,47,2,1,1,0,2,cond.b(1B).r ; dst.b(1B).w,ok
SHA,sha.b,,B9 BB BD,2,1,0,1,3,dst.b(1B).rw ; count.b(1B).r,ok
SHA,sha.b,,B9 BB BD,2,1,0,1,3,dst.h(2B).rw ; count.b(1B).r,ok
SHA,sha.w,,B9 BB BD,1,0,0,1,4,dst.w(4B).rw,ok
SHL,shl.b,,A9 AB AD,2,1,0,1,3,dst.b(1B).rw ; count.b(1B).r,ok
SHL,shl.b,,A9 AB AD,2,1,0,1,3,dst.h(2B).rw ; count.b(1B).r,ok
SHL,shl.w,,A9 AB AD,1,0,0,1,4,dst.w(4B).rw,ok
SKPCD,skpcd.b,Skip Character,5A-1A 5A-1B,3,3,0,0,3,src.b(1B).r ; slen.b(1B).r ; char.b(1B).r,ok
SKPCD,skpcd.b,Skip Character,5A-1A 5A-1B,3,3,0,0,3,src.h(2B).r ; slen.b(1B).r ; char.h(2B).r,ok
SKPCU,skpcd.b,,5A-1A 5A-1B,3,3,0,0,3,src.b(1B).r ; slen.b(1B).r ; char.b(1B).r,review
SKPCU,skpcd.b,,5A-1A 5A-1B,3,3,0,0,3,src.h(2B).r ; slen.b(1B).r ; char.h(2B).r,review
STPR,stpr,,02,1,0,1,0,2,dst.w(4B).w,ok
STTASK,sttask,Store Task,,1,1,0,0,2,list.w(4B).r,ok
SUBC,dst.b,,98 9A 9C,1,1,0,0,1,src.b(1B).r,review
SUBC,dst.h,,98 9A 9C,1,1,0,0,1,src.h(2B).r,review
SUBC,subc.w,,98 9A 9C,2,1,0,1,6,src.w(4B).r ; dst.w(4B).rw,ok
SUBDC,subdc,,59-01,3,2,0,1,4,src.b(1B).r ; dst.b(1B).rw ; pat.b(1B).r,ok
SUBF,subf.s,,5C-19,2,1,0,1,6,src.s(4B).r ; dst.s(4B).rw,ok
SUBF,subf.l,,5C-19,2,1,0,1,12,src.l(8B).r ; dst.l(8B).rw,ok
SUBRDC,subrdc,,59-02,3,2,0,1,4,src.b(1B).r ; dst.b(1B).rw ; pat.b(1B).r,ok
TASI,tasi,,,1,0,0,1,2,dst.b(1B).rwi,ok
TB,tb,,,0,0,0,0,0,,ok
TEST,test.b,,,1,1,0,0,1,src.b(1B).r,ok
TEST,test.h,,,1,1,0,0,1,src.h(2B).r,ok
TEST,test.w,,,1,1,0,0,2,src.w(4B).r,ok
TEST1,testl,Test Bit,87,2,2,0,0,4,offset.w(4B).r ; base.w(4B).r,review
TRAP,trap,Trap on Condition,,1,1,0,0,1,vector.b(1B).r,ok
TRAPFL,trapfl,Trap on Floating Point Exception,CB,0,0,0,0,0,,ok
UPDATE,update,Update Area Table Entry,15,1,1,0,0,2,va.p(4B).r,ok
UPDPSW,updpsw.w,Update PSW,13 4A,1,1,0,0,2,mask.w(4B).r,ok
UPDPTE,updpte,Update Page Table Entry,14,1,1,0,0,2,va.p(4B).r,ok
XCH,xch.b,,41 43 45,2,0,0,2,4,dstl.b(1B).rw ; dst2.b(1B).rw,review
XCH,xch.h,,41 43 45,2,0,0,2,4,dstl.h(2B).rw ; dst2.h(2B).rw,review
XCH,xch.w,,41 43 45,1,0,0,1,4,dst2.w(4B).rw,ok
XOR,xor.b,,B2 B4,2,1,0,1,3,src.b(1B).r ; dst.b(1B).rw,ok
XOR,xor.h,,B2 B4,2,1,0,1,3,src.h(2B).r ; dst.h(2B).rw,ok
XOR,xor.w,,B2 B4,2,1,0,1,6,src.w(4B).r ; dst.w(4B).rw,ok
XORBSD,xorbsd,XOR Bit String,5B-18 5B-19,3,2,0,1,4,bsrc.b(1B).r ; blen.b(1B).r ; bdst.b(1B).rw,ok
XORBSD,xorbsu,XOR Bit String,5B-18 5B-19,3,2,0,1,4,bsrc.b(1B).r ; blen.b(1B).r ; bdst.b(1B).rw,review
XORBSU,instruction,,5B-18 5B-19 5B-1A 5B-1B,3,2,0,1,4,bsrc.b(1B).r ; blen.b(1B).r ; bdst.b(1B).rw,review
XORBSU,xombsd,,5B-18 5B-19 5B-1A 5B-1B,3,2,0,1,4,bsrc.b(1B).r ; blen.b(1B).r ; bdst.b(1B).rw,review
